Obj           Name     X     Y     Z         RA       DEC        VRAD   MAJ   MIN       PA     w_RA    w_DEC       w_50       w_20     w_VRAD     F_int     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix Flag  X_av  Y_av  Z_av X_cent Y_cent Z_cent X_peak Y_peak Z_peak
#                                                                  [m/s] [deg] [deg]    [deg] [arcmin] [arcmin]      [m/s]      [m/s]      [m/s]  [Jy m/s] [Jy/beam] [Jy/beam]                                [pix]                                                                 
   21 J061901-271702  28.3  59.8 115.1 06:19:01.3 -27:17:02  232199.941  0.31  0.22 134.4052    20.83    23.35  20559.182  39859.757  52765.285  1753.549     1.952     0.107  19.24  27  31  58  63 113 117    61    M  28.3  59.9 114.9   28.3   59.8  115.1     29     60    115
   22 J060012-222737  91.2 133.0 295.3 06:00:12.7 -22:27:37 2609312.430  0.29  0.16 176.6842    11.91    28.10  17850.052  59718.909 105530.570  1252.848     1.395     0.106  19.02  90  92 131 137 291 299    55    -  91.1 133.3 295.4   91.2  133.0  295.3     92    132    295
   23 J061205-275223  51.5  51.6 296.2 06:12:05.8 -27:52:23 2621349.189  0.28  0.14 177.6443    12.67    31.78  15991.800 135029.446 158295.855  1133.101     1.261     0.104  18.80  51  53  47  54 288 300    48    -  51.6  51.4 295.9   51.5   51.6  296.2     51     52    297
   24 J061132-283627  53.6  40.6 296.2 06:11:32.7 -28:36:27 2620504.603  0.34  0.13   6.9192     8.49    23.88  54139.208  64708.715  92339.249  1025.526     1.142     0.103  18.47  53  54  37  42 292 299    37    -  53.6  40.5 296.0   53.6   40.6  296.2     54     39    297
   25 J061212-214925  49.5 142.2 271.2 06:12:12.3 -21:49:25 2291787.166  0.25  0.22 158.6347    24.41    23.59 403056.418 443457.060 448504.924 20904.086    23.271     0.101  18.14  47  52 140 145 255 289   604    -  49.5 142.2 271.8   49.5  142.2  271.2     50    142    259
   26 J060727-260051  66.6  79.7 116.2 06:07:27.8 -26:00:51  246785.856  1.28  0.48  87.9484    76.34    39.31  56320.612  81330.521 105530.570  7962.741     8.864     0.100  18.03  60  78  76  85 113 121   274    M  66.6  79.8 116.2   66.6   79.7  116.2     62     82    115
   27 J054819-280742 130.2  47.5 425.6 05:48:19.7 -28:07:42 4327935.721  0.35  0.13 171.8390    11.11    32.32  25331.801  55940.739  79147.928  1419.639     1.580     0.097  17.37 129 131  45  52 423 429    51    - 130.3  47.6 425.8  130.2   47.5  425.6    130     47    425
   28 J061707-272406  34.7  58.2 227.1 06:17:07.2 -27:24:06 1709077.013  0.25  0.22 111.7294    20.75    23.42 303936.365 324612.650 356165.675 12420.687    13.827     0.093  16.71  33  37  56  61 212 239   372    -  34.7  58.2 226.7   34.7   58.2  227.1     35     58    236
   29 J061917-262438  27.0  72.9 296.8 06:19:17.4 -26:24:38 2629088.543  0.22  0.10 157.9486    16.55    15.47  56292.606  86414.334  79147.928  1248.352     1.390     0.091  16.38  26  29  72  75 294 300    39    E  27.0  72.9 296.9   27.0   72.9  296.8     27     73    298
   30 J054611-214708 140.0 142.3 114.8 05:46:11.3 -21:47:08  227536.301  0.67  0.24 127.5213    39.26    33.28  32397.950  52282.318  65956.606  4185.226     4.659     0.090  16.16 135 144 138 145 113 118   141    M 139.8 142.2 114.8  140.0  142.3  114.8    141    144    115
   31 J055658-225852 102.4 125.2 734.5 05:56:58.2 -22:58:52 8402302.028  0.74  0.12   8.1248    15.62    44.21 348578.444 444845.347 342974.354  4550.937     5.066     0.078  14.08 101 104 120 130 722 748   186    - 102.3 125.3 734.7  102.4  125.2  734.5    103    122    734
   32 J055050-285300 121.6  36.4 299.0 05:50:50.3 -28:53:00 2657893.834  0.37  0.07  10.7323    11.36    28.28 114101.674 128050.199 145104.534   853.253     0.950     0.078  13.97 120 122  34  40 295 306    31    - 121.5  36.5 299.3  121.6   36.4  299.0    122     35    297
   33 J061727-251515  32.6  90.4 270.2 06:17:27.5 -25:15:15 2278541.498  0.27  0.20 127.9781    16.48    15.52  39079.701  52234.166  65956.606  1526.775     1.700     0.075  13.53  31  34  89  92 267 272    48    -  32.6  90.4 269.9   32.6   90.4  270.2     33     89    271
   34 J061205-244635  50.7  98.0 113.6 06:12:05.2 -24:46:35  212397.964  0.86  0.28  75.5570    69.99    90.51  78422.324  80801.939  26382.643   910.823     1.014     0.075  13.42  38  54  87 109 113 115   146   NM  47.6  98.1 113.3   50.7   98.0  113.6     48     98    113
   35 J054752-244939 133.0  96.9 118.7 05:47:52.7 -24:49:39  279135.651  0.44  0.18  97.5107    27.52    20.75  33474.828  60498.989 105530.570  2668.100     2.970     0.074  13.31 130 136  95  99 115 123   101    - 132.9  96.9 118.6  133.0   96.9  118.7    132     97    119
   36 J061940-291905  27.3  29.3 112.9 06:19:40.1 -29:19:05  203425.144  0.39  0.12   3.4204     8.92    23.75  37720.589  44694.333  26382.643   427.558     0.476     0.071  12.76  27  28  27  32 113 115    19   EM  27.3  29.4 113.7   27.3   29.3  112.9     27     29    113
   37 J061529-223457  38.3 130.6 252.7 06:15:29.0 -22:34:57 2046553.305  0.25  0.20 175.8771    20.48    19.51 124697.011 158877.070 158295.855  4516.284     5.028     0.070  12.54  36  40 129 133 246 258   160    -  38.5 130.7 252.4   38.3  130.6  252.7     37    131    255
   38 J061523-263433  40.1  70.8 232.7 06:15:23.0 -26:34:33 1782994.586  0.27  0.20  20.0931    20.65    23.48  73147.358  91060.489  79147.928  3422.551     3.810     0.068  12.32  38  42  68  73 230 236   106    -  40.3  70.8 232.8   40.1   70.8  232.7     40     71    231
   39 J060904-214126  60.4 144.4 228.8 06:09:04.2 -21:41:26 1732063.599  0.29  0.18 135.3235    20.24    19.78 119089.380 133971.634 145104.534  3429.898     3.818     0.068  12.21  58  62 142 146 223 234   123    -  60.4 144.4 228.9   60.4  144.4  228.8     61    145    225
   40 J060702-225712  67.6 125.6 726.9 06:07:02.8 -22:57:12 8302847.001  0.48  0.07  14.6181    12.41    47.95 308324.391 341924.796 303400.390  3194.132     3.556     0.066  11.88  67  69 120 131 715 738   138    -  67.6 125.8 727.1   67.6  125.6  726.9     68    123    736
   41 J061604-264616  37.9  67.8 554.0 06:16:04.8 -26:46:16 6021113.144  0.24  0.16  40.9038    16.69    23.56 433774.122 462118.121 461696.245  4990.557     5.556     0.064  11.55  36  39  65  70 544 579   210    -  37.9  67.9 554.7   37.9   67.8  554.0     39     68    547
   42 J061820-234427  29.0 113.0 117.2 06:18:20.4 -23:44:27  259336.089  0.31  0.18 150.4249    24.62    19.25  38356.938  70330.677  79147.928  1795.219     1.998     0.064  11.55  26  31 111 115 115 121    66    -  29.2 113.0 117.5   29.0  113.0  117.2     30    114    115
